Year,Géographie,Value
2015,"Vancouver, BC",6.1
2016,"Vancouver, BC",4.8
2017,"Vancouver, BC",6.5
2018,"Vancouver, BC",6.8
2019,"Vancouver, BC",5.4
2020,"Vancouver, BC",6.5
2015,"Victoria, BC",6.3
2016,"Victoria, BC",4.3
2017,"Victoria, BC",6.9
2018,"Victoria, BC",8.4
2019,"Victoria, BC",6.8
2020,"Victoria, BC",7.7
2015,"Whitehorse, YT",5.5
2016,"Whitehorse, YT",3.4
2017,"Whitehorse, YT",4.3
2018,"Whitehorse, YT",3.3
2019,"Whitehorse, YT",
2020,"Whitehorse, YT",5.6
2015,"Windsor, ON",9.6
2016,"Windsor, ON",8.3
2017,"Windsor, ON",8.1
2018,"Windsor, ON",8.6
2019,"Windsor, ON",8.4
2020,"Windsor, ON",7.9
2015,"Winnipeg, MB",6.0
2016,"Winnipeg, MB",5.8
2017,"Winnipeg, MB",5.3
2018,"Winnipeg, MB",5.9
2019,"Winnipeg, MB",5.4
2020,"Winnipeg, MB",5.7
2015,"Yellowknife, NT",8.5
2016,"Yellowknife, NT",7.8
2017,"Yellowknife, NT",4.5
2018,"Yellowknife, NT",2.9
2019,"Yellowknife, NT",4.4
2020,"Yellowknife, NT",4.4
